TOPIC,WORDS_1,WORDS_2,WORDS_3,WORDS_4,WORDS_5,WORDS_6,WORDS_7
Agriculture,farm,farms,agriculture,agricultural,,,
Allocation,allocation,allocations,,,,,
Climate change,climate chang*,,,,,,
Community,community,communities,,,,,
Constraint,constraint,constraints,constraining,,,,
Decline,decline,declines,,,,,
Diversity,diversity,biodiversity,diverse,richness,,,
Ecosystem service,ecosystem* service*,,,,,,
Fragmentation,fragment,fragments,fragmentation,fragmentations,,,
Functional,functional,,,,,,
Human,people,peoples,person,persons,human,humans,
Inbreeding depression,inbreeding depression*,,,,,,
Invasive species,invasive species,,,,,,
Landscape,landscape,landscapes,,,,,
Limitation,limitation,,,,,,
Longevity,longevity,longevities,,,,,
Masting,masts,masting,mastings,,,,
Network,network,networks,,,,,
Pesticide,pesticide*,,,,,,
Phylogeny,phylogen*,,,,,,
Population,population,populations,,,,,
Urban,urban,urbanisation,urbanised,urbanity,urbanization,urbanized,urbanizing
